name,number,lat,long
Boystown,s1,41.9455549841,-87.6478068062
Bridgeport,s2,41.8365911927,-87.6496567079
Bucktown,s3,41.9248686015,-87.6810535616
Chinatown,s4,41.8525767428,-87.6349785631
Douglas,s5,41.834717749,-87.6171420007
East Village,s6,41.8996297203,-87.6722740207
Edgewater,s7,41.9872602779,-87.6638294191
Gold Coast,s8,41.9062765566,-87.6279340224
Grand Boulevard,s9,41.8129360514,-87.6178303409
Grant Park,s10,41.8741670544,-87.6207794225
Greektown,s11,41.878576418,-87.6471421607
Humboldt Park,s12,41.9008730871,-87.7165352224
Hyde Park,s13,41.7942601533,-87.5925816273
Kenwood,s14,41.8095918198,-87.5965555068
Lake View,s15,41.9469773396,-87.6650175039
Lincoln Park,s16,41.9219201978,-87.638901437
Lincoln Square,s17,41.9760333977,-87.6895940844
"Little Italy, UIC",s18,41.867009141,-87.6677675301
Little Village,s19,41.8379621749,-87.7132342382
Logan Square,s20,41.9229020131,-87.7070713689
Loop,s21,41.8781170817,-87.6310415178
Lower West Side,s22,41.8475762494,-87.671473875
Millenium Park,s23,41.882657036,-87.6206707385
Museum Campus,s24,41.8565962957,-87.6145128616
Near South Side,s25,41.8561992673,-87.6230739041
North Center,s26,41.9468586783,-87.6849632437
Old Town,s27,41.9110888608,-87.6399743722
Printers Row,s28,41.8710620673,-87.6290421419
River North,s29,41.8986437775,-87.6405740615
Rush & Division,s30,41.8997165922,-87.6291827395
Sheffield & DePaul,s31,41.9271818661,-87.6536703007
Streeterville,s32,41.8946445578,-87.6193790211
Ukrainian Village,s33,41.8994189977,-87.6845087549
United Center,s34,41.8821644153,-87.6795202246
Uptown,s35,41.9661461262,-87.6559308353
Washington Park,s36,41.7911280186,-87.6173051598
West Loop,s37,41.8733859866,-87.6406697511
West Town,s38,41.9021977762,-87.6618815506
Wicker Park,s39,41.9088721527,-87.6798641265
Wrigleyville,s40,41.9494109227,-87.6592381828
